author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
1788,abortion,"['the', 'government', 'has', 'no', 'place', 'to', 'tell', 'a', 'woman', 'what', 'she', 'can', 'do', 'with', 'her', 'own', 'body', ',', 'ever', '.']",3,0,3,Pro-Choice
517,abortion,"['if', 'a', 'woman', 'is', 'raped', 'and', 'left', 'with', 'the', 'bastard', 'child', 'of', 'the', 'man', 'who', 'raped', 'her', 'and', 'severely', 'emotionally', 'traumatized', 'her', ',', 'she', 'should', 'have', 'the', 'decision', 'to', 'give', 'up', 'that', 'baby', '.', 'certain', 'circumstances', 'call', 'for', 'desperate', 'decisions', 'and', 'this', 'is', 'one', ',', 'the', 'choice', 'should', 'be', 'her', ""'s"", 'to', 'make', 'and', 'she', 'should', 'be', 'allowed', 'to', 'make', 'it', '.']",3,0,3,Pro-Choice
21,abortion,"['it', 'really', 'depends', 'the', 'situation', ',', 'if', 'a', 'girl/woman', 'gets', 'raped', ',', 'it', ""'s"", 'not', 'fair', 'that', 'she', 'has', 'to', 'keep', 'the', 'child', '.', 'if', 'a', 'young', 'teen', 'has', 'unprotected', 'sex', 'and', 'ends', 'up', 'with', 'a', 'child', ',', 'that', ""'s"", 'her', 'fault', 'for', 'not', 'being', 'prepared', '.']",3,0,3,Pro-Choice
101,abortion,"['i', 'support', 'pro', 'choice', 'if', 'nothing', 'else', 'because', 'it', 'is', 'one', 'of', 'the', 'last', 'bastions', 'that', 'free', 'people', 'hold', 'out', 'against', 'the', 'government', 'for', '.']",3,0,3,Pro-Choice
168,abortion,"['i', 'am', 'personally', 'against', 'the', 'abortion', ',', 'but', 'i', 'believe', 'in', 'the', 'right', 'of', 'choice', '.', 'what', 'matters', 'to', 'a', 'pregnant', 'mother', 'what', 'i', 'think', 'or', 'what', 'most', 'of', 'the', 'people', 'thinks', 'about', 'it', '.', 'she', 'must', 'decide', 'what', 'to', 'do', 'with', 'her', 'child', '.']",3,0,3,Pro-Choice
672,abortion,"['here', ""'s"", 'an', 'interesting', 'thought', 'for', 'those', 'of', 'you', 'who', 'believe', '``', 'life', ""''"", 'begins', 'at', 'conception', 'rather', 'than', 'birth', '...', 'america', 'grants', 'citizenship', 'to', 'people', '``', 'born', ""''"", 'in', 'the', 'united', 'states', ',', 'but', 'not', 'to', 'those', 'conceived', 'here', '.', 'perhaps', 'if', 'you', 'truly', 'believe', 'life', 'begins', 'at', 'conception', 'and', 'that', 'is', 'a', 'full', 'person', 'with', 'rights', 'to', 'life', ',', 'then', 'we', 'should', 'also', 'grant', 'citizenship', 'to', 'that', 'person', ',', 'no', '?']",3,0,3,Pro-Choice
1068,abortion,"['``', 'fair', 'all-around', '?', ""''"", 'are', 'you', 'kidding', '?', 'what', 'could', 'possibly', 'be', '``', 'fair', ""''"", 'about', 'you', 'deciding', 'when', 'it', 'is', 'time', 'for', 'me', 'to', 'have', 'a', 'child', '?', 'there', 'are', 'ways', 'not', 'to', 'get', 'pregnant', ',', 'there', 'are', 'also', 'exceptions', 'to', 'every', 'rule', '.', 'if', 'there', 'are', 'women', 'out', 'there', 'using', 'abortions', 'as', 'birth', 'control', ',', 'i', 'am', 'appalled', ',', 'but', 'the', 'fact', 'remains', 'that', 'there', 'are', 'plenty', 'of', 'cases', 'in', 'which', 'thoughtful', ',', 'moral', ',', 'and', 'careful', 'women', 'choose', 'to', 'terminate', 'pregnancies', '.', 'and', 'that', 'is', 'between', 'them', 'and', 'their', 'consciences', ',', 'not', 'between', 'you', 'and', 'them', '.', 'people', 'do', ""n't"", 'always', 'do', 'the', 'smart', 'thing', 'or', 'the', 'right', 'thing', 'the', 'first', 'time', 'around', ',', 'but', 'that', 'does', ""n't"", 'mean', 'that', 'they', 'should', 'be', 'barred', 'from', 'correcting', 'their', 'mistakes', '--', 'forcing', 'them', 'to', 'become', 'parents', 'instead', 'is', 'flat-out', 'backwards', '.']",3,0,3,Pro-Choice
1729,abortion,"['it', ""'s"", 'not', 'a', 'question', 'of', 'what', 'you', 'choose', ',', 'it', ""'s"", 'a', 'question', 'of', '``', 'who', 'decides', ""''"", '?', 'a', 'woman', 'is', 'not', 'your', 'property', '.', 'nor', 'is', 'she', 'the', 'property', 'of', 'your', 'church', ',', 'the', 'state', ',', 'or', 'any', 'fetus', '.', 'you', 'have', 'no', 'right', 'to', 'command', 'her', 'servitude', '.']",3,0,3,Pro-Choice
1820,abortion,"['people', 'can', 'make', 'the', 'choice', 'for', 'themselves', '.', 'it', 'is', 'not', 'up', 'to', 'us', 'or', 'the', 'government', 'to', 'decide', 'to', 'add', 'more', 'unwanted', 'children', 'to', 'this', 'world', '.']",3,0,3,Pro-Choice
1796,abortion,"['surely', 'if', 'we', 'are', 'worried', 'about', 'the', 'feelings', 'of', 'unborn', 'children', 'within', 'the', 'first', 'few', 'months', 'of', 'pregnancy', ',', 'than', 'we', 'should', 'first', 'be', 'worried', 'about', 'protecting', 'the', 'rights', 'of', 'far', 'more', 'conscious', 'animals', ',', 'such', 'as', 'fully-developed', 'primates', '.', 'if', 'its', 'is', ""n't"", 'their', 'feelings', 'we', 'are', 'worried', 'about', ',', 'then', 'i', 'guess', 'i', 'am', 'very', 'confused', 'about', 'the', 'pro-life', 'point', 'of', 'view', '.']",3,0,3,Pro-Choice
